DataType,Site,Year,Month,Scope,ActivityCategory,ActivitySubCategory,Value
Detail,Bangna,2026,Jan,Scope 1,Stationary Combustion,Diesel B7 - ปั๊มดับเพลิง,0.201503981232
Detail,Bangna,2025,Jan,Scope 1,Stationary Combustion,Diesel B7 - ปั๊มดับเพลิง,0.100751990616
Detail,Bangna,2026,Jan,Scope 1,Stationary Combustion,Diesel B7 - Generator,0
Detail,Bangna,2025,Jan,Scope 1,Stationary Combustion,Diesel B7 - Generator,0
Detail,Bangna,2026,Jan,Scope 1,Stationary Combustion,Fuel Oil A - Hot oil,129.548014356138
Detail,Bangna,2025,Jan,Scope 1,Stationary Combustion,Fuel Oil A - Hot oil,136.554787055456
Detail,Bangna,2026,Jan,Scope 1,Stationary Combustion,Fuel Oil A - Boiler,28.7676963675119
Detail,Bangna,2025,Jan,Scope 1,Stationary Combustion,Fuel Oil A - Boiler,19.6807880230841
Detail,Bangna,2026,Jan,Scope 1,Stationary Combustion,LPG - โรงอาหาร / การผลิตเพลส์ / การผลิตเรซิน,2.39107702044444
Detail,Bangna,2025,Jan,Scope 1,Stationary Combustion,LPG - โรงอาหาร / การผลิตเพลส์ / การผลิตเรซิน,2.39107702044444
Detail,Bangna,2026,Jan,Scope 1,Mobile Combustion: Off-road,Diesel B7 - รถโฟล์คลิฟท์ / รถหัวลาก / รถบรรทุก (Waste yard),36.5182874806295
Detail,Bangna,2025,Jan,Scope 1,Mobile Combustion: Off-road,Diesel B7 - รถโฟล์คลิฟท์ / รถหัวลาก / รถบรรทุก (Waste yard),40.4720884768525
Detail,Bangna,2026,Jan,Scope 1,Mobile Combustion: On-road,Diesel B7 - ยานพาหนะของบริษัท,125.718922887639
Detail,Bangna,2025,Jan,Scope 1,Mobile Combustion: On-road,Diesel B7 - ยานพาหนะของบริษัท,126.965702777445
Detail,Bangna,2026,Jan,Scope 1,Mobile Combustion: On-road,Diesel B10 - ยานพาหนะของบริษัท,0
Detail,Bangna,2025,Jan,Scope 1,Mobile Combustion: On-road,Diesel B10 - ยานพาหนะของบริษัท,0
Detail,Bangna,2026,Jan,Scope 1,Mobile Combustion: On-road,Diesel B20 - ยานพาหนะ of บริษัท,0
Detail,Bangna,2025,Jan,Scope 1,Mobile Combustion: On-road,Diesel B20 - ยานพาหนะ of บริษัท,0
Detail,Bangna,2026,Jan,Scope 1,Mobile Combustion: On-road,Gasohol 91 - ยานพาหนะของบริษัท,159.436222189492
Detail,Bangna,2025,Jan,Scope 1,Mobile Combustion: On-road,Gasohol 91 - ยานพาหนะของบริษัท,154.412410505635
Detail,Bangna,2026,Jan,Scope 1,Mobile Combustion: On-road,Gasohol 95 - ยานพาหนะของบริษัท,9.61743093028608
Detail,Bangna,2025,Jan,Scope 1,Mobile Combustion: On-road,Gasohol 95 - ยานพาหนะของบริษัท,10.4673326560977
Detail,Bangna,2026,Jan,Scope 1,Mobile Combustion: On-road,ULG 95 - ยานพาหนะของบริษัท,0
Detail,Bangna,2025,Jan,Scope 1,Mobile Combustion: On-road,ULG 95 - ยานพาหนะของบริษัท,0
Detail,Bangna,2026,Jan,Scope 1,Mobile Combustion: On-road,Gasohol E20 - ยานพาหนะของบริษัท,26.6545126821238
Detail,Bangna,2025,Jan,Scope 1,Mobile Combustion: On-road,Gasohol E20 - ยานพาหนะของบริษัท,30.5031306013624
Detail,Bangna,2026,Jan,Scope 1,Mobile Combustion: On-road,Gasohol E85 - ยานพาหนะของบริษัท,0
Detail,Bangna,2025,Jan,Scope 1,Mobile Combustion: On-road,Gasohol E85 - ยานพาหนะของบริษัท,0
Detail,Bangna,2026,Jan,Scope 1,Fugitive Emissions,CO2 Fire Extinguisher,0
Detail,Bangna,2025,Jan,Scope 1,Fugitive Emissions,CO2 Fire Extinguisher,0
Detail,Bangna,2026,Jan,Scope 1,Fugitive Emissions,Methane from WWT,0
Detail,Bangna,2025,Jan,Scope 1,Fugitive Emissions,Methane from WWT,0
Detail,Bangna,2026,Jan,Scope 1,Fugitive Emissions,Methane from Septic tank,32.795952
Detail,Bangna,2025,Jan,Scope 1,Fugitive Emissions,Methane from Septic tank,31.6932
Detail,Bangna,2026,Jan,Scope 1,Fugitive Emissions,Refrigerant R-32,0
Detail,Bangna,2025,Jan,Scope 1,Fugitive Emissions,Refrigerant R-32,0
Detail,Bangna,2026,Jan,Scope 1,Fugitive Emissions,Refrigerant R-134a,0
Detail,Bangna,2025,Jan,Scope 1,Fugitive Emissions,Refrigerant R-134a,0
Detail,Bangna,2026,Jan,Scope 1,Fugitive Emissions,Refrigerant R-410A,0
Detail,Bangna,2025,Jan,Scope 1,Fugitive Emissions,Refrigerant R-410A,0
Detail,Bangna,2026,Jan,Scope 1,Fugitive Emissions,Refrigerant R-407C,0
Detail,Bangna,2025,Jan,Scope 1,Fugitive Emissions,Refrigerant R-407C,0
Detail,Bangna,2026,Jan,Scope 2,การปล่อยก๊าซเรือนกระจกทางอ้อมจากการนำเข้าพลังงานมาใช้ในองค์กร,ไฟฟ้านำเข้าจากภายนอก,464.76375
Detail,Bangna,2025,Jan,Scope 2,การปล่อยก๊าซเรือนกระจกทางอ้อมจากการนำเข้าพลังงานมาใช้ในองค์กร,ไฟฟ้านำเข้าจากภายนอก,456.8051207
Detail,Bangna,2026,Jan,Scope 2,การปล่อยก๊าซเรือนกระจกทางอ้อมจากการนำเข้าพลังงานมาใช้ในองค์กร,ไฟฟ้าจาก Solar Rooftop,0
Detail,Bangna,2025,Jan,Scope 2,การปล่อยก๊าซเรือนกระจกทางอ้อมจากการนำเข้าพลังงานมาใช้ในองค์กร,ไฟฟ้าจาก Solar Rooftop,0
Detail,Bangna,2026,Jan,Scope 2,การปล่อยก๊าซเรือนกระจกทางอ้อมจากการนำเข้าพลังงานมาใช้ในองค์กร,ไอน้ำจาก TDIC,0
Detail,Bangna,2025,Jan,Scope 2,การปล่อยก๊าซเรือนกระจกทางอ้อมจากการนำเข้าพลังงานมาใช้ในองค์กร,ไอน้ำจาก TDIC,0
Detail,Bangna,2026,Jan,Scope 2,,Solar Value,464.76375
